infoid,Title,Content,Pricetag,Image,City_name,ID_City,Vehicle_name,Odometer,License_plate,Cubic_power,Manufacture_year,ID_VehicleBrand,ID_VehicleLineup,Condition,ID_VehicleType,ID_Color
11,Yamaha Nouvo 5 125 2012,"Cần b&aacute;n nouvo 5 như h&igrave;nh
m&aacute;y m&oacute;c &ecirc;m ru
giấy tờ đầy đủ
gi&aacute; 8tr8
xem xe tại 135, đường số 51, t&acirc;n quy, quận 7",8800000,https://cdn.okxe.vn/products/862/1195862/1195862_283586_IMG_20221205_134635_20221205014815_CAtMpdg3_m_400x400.jpg,Tp. Hồ Chí Minh,50,Yamaha Nouvo 5 125,5000,,125.0,2012,40,1083,2,2,16
12,Honda Wave Alpha RSX 110 Fi 2021,B&aacute;n RSX 110 Fi v&agrave;nh đ&uacute;c m&agrave;u đỏ  2021   m&igrave;nh cần tiền mở cửa h&agrave;ng ri&ecirc;ng muốn nhượng lại cho c&aacute;c bạn c&oacute; nhu cầu Gi&aacute; m&igrave;nh đưa ra nếu mua b&aacute;n m&igrave;nh c&oacute; giảm v&agrave; hỗ trợ đầy đủ thủ tục tại nh&agrave;,13500000,https://cdn.okxe.vn/products/861/1195861/1195861_1511635_4._20221205014812_QWKR2Av0_m_400x400.jpg,Tp. Hà Nội,1,Honda Wave Alpha RSX 110 Fi,5000,,110.0,2021,15,1055,2,2,10
13,Honda Vision 110 2011,"- Honda vision 110 fi 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2011
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 17.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",17500000,https://cdn.okxe.vn/products/860/1195860/1195860_389086_review-0_20221205014758_Q19Ba9ig_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Vision 110,30000,,108.0,2011,15,135,2,1,1
14,Honda CBR 150 R 2020,"cần b&aacute;n Xe HONDA CBR 150 abs 2022. xe vừa đk xong . biển số vip nhất HN 29Z - mới lăn b&aacute;nh đc 200km.

xe đăng k&yacute; ch&iacute;nh chủ, xe rất đẹp, mới đập th&ugrave;ng - xe sang t&ecirc;n ngay.HẢI QUAN CH&Iacute;NH NGẠCH - C&oacute; giảm gi&aacute; nhẹ cho anh em n&agrave;o c&oacute; nhu cầu. gl xe ga xe so OK.",53500000,https://cdn.okxe.vn/products/859/1195859/1195859_1949_6._20221205014752_OgGbqVsh_m_400x400.jpg,Tp. Hà Nội,1,Honda CBR 150 R,5000,,149.0,2020,15,168,2,2,3
15,Yamaha R15 V2 150 2017,"xe sử dụng từ mới đi giữ g&igrave;n thay dầu bảo dưỡng định k&igrave; d&aacute;n nilon từ mới. c&aacute;c b c&oacute; thể dẫn thợ đến kiểm tra,mua b&aacute;n tại nh&agrave; . c&oacute; nhu cầu alo nh&eacute;.",28000000,https://cdn.okxe.vn/products/858/1195858/1195858_1949_2._20221205014733_5j95tYfY_m_400x400.jpg,Tp. Hà Nội,1,Yamaha R15 V2 150,10000,,,2017,40,1077,2,3,15
16,Honda Vision 110 2015,"Cần b&aacute;n xe mới như h&igrave;nh m&aacute;y m&oacute;c &ecirc;m bốc nguy&ecirc;n bản,xe gia đ&igrave;nh sử dụng do đổi xe n&ecirc;n b&aacute;n lại cho ai cần xe được bảo dưỡng đầy đủ mua b&aacute;n tại nh&agrave;,anh chị em mua Alo m&igrave;nh",13000000,https://cdn.okxe.vn/products/857/1195857/1195857_911570_6._20221205014721_5q1gVkxT_m_400x400.jpg,Tp. Hà Nội,1,Honda Vision 110,5000,,108.0,2015,15,135,2,1,1
17,Honda Air Blade 125 FI 2014,"- Honda ab 125 fi 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2014
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 26.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",26500000,https://cdn.okxe.vn/products/856/1195856/1195856_389086_review-0_20221205014657_Jd0tQBhY_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Air Blade 125 FI,30000,,125.0,2014,15,148,2,1,3
18,Honda Future 125 2022,"Cần bán xe chính chủ ,máy móc nguyên bản tuyệt đối, giấy tờ đầy đủ, xe vừa bóc nilon nên còn cực đẹp, giá ae nào có nhu cầu liên hệ",15000000,https://cdn.okxe.vn/products/855/1195855/1195855_1048_2._20221205014652_1ALpzb5W_m_400x400.jpg,Tp. Hà Nội,1,Honda Future 125,5000,,125.0,2022,15,198,2,2,10
19,Honda PS 150i 2008,"🅧🅜🅗🅝 ⭐️ 𝐂𝐇𝐀̀𝐎 𝐁𝐀́𝐍 ⭐️ 🅲Ầ🆄 🅶🅸Ấ🆈
📣
👉 𝐇𝐚̃𝐧𝐠 𝐱𝐞   : honda PS 150fi kim fun điện tử mầu xanh, năm 2008 d&ograve;ng xe đẳng cấp xe nhập khẩu &yacute; nguy&ecirc;n chiếc thời trang chế độ fi t&iacute;ch kiệm nhi&ecirc;n liệu m&aacute;y nguy&ecirc;n zin từng con ốc, 1 chủ Si&ecirc;u Mới
-Sơn m&aacute;y zin 100%
-bản qu&aacute; đẹp sang chảnh
-xe qu&aacute; l&agrave;nh chả c&oacute; g&igrave; để hỏng
-video h&igrave;nh ảnh quay trực tiếp cho kh&aacute;ch h&agrave;ng thẩm định
👉 Đ𝐚̆𝐧𝐠 𝐤𝐲́   : 2008
👉 𝐁𝐢𝐞̂̉𝐧 𝐬𝐨̂́     : 30F4-0780
👉 𝐎𝐝𝐨          : 25 ng&igrave;n km
👉 𝐂𝐡𝐢́𝐧𝐡 𝐜𝐡𝐮̉ : ✍🏻
👉 #𝐆𝐢𝐚́_𝐘𝐞̂𝐮_𝐓𝐡𝐮̛𝐨̛𝐧𝐠: 23t5 triệu
💳 #Trả_G&oacute;p Qua Ng&acirc;n H&agrave;ng L&atilde;i Xuất Ưu Đ&atilde;i. 
💳 #Trả_G&oacute;p Qua Thẻ T&iacute;n Dụng 0%
------------------🅧🅜🅗🅝---------------
#𝐐𝐔𝐘𝐄̂̀𝐍𝐋𝐎̛̣𝐈_𝐊𝐇𝐀́𝐂𝐇𝐇𝐀̀𝐍𝐆_𝐊𝐇𝐈_𝐌𝐔𝐀𝐗𝐄
✅ Bảo h&agrave;nh động cơ v&agrave; ic&rdquo; 6Th - 1 năm &ldquo;
✅ Bảo h&agrave;nh an ninh trọn đời .
✅ Cửa h&agrave;ng c&oacute; đầy đủ dịch vụ Sang t&ecirc;n, đổi biển, cấp lại đăng k&yacute; cho kh&aacute;ch trong thời gian ngắn nhất.
✅ Mua lại xe gi&aacute; cao khi kh&aacute;ch kh&ocirc;ng c&oacute; nhu cầu sử dụng.
✅ Bảo h&agrave;nh 7 ng&agrave;y test từng lỗi nhỏ đến sửa miễn ph&iacute;.
✅ Bảo H&agrave;nh tận nơi cho kh&aacute;ch trong nội th&agrave;nh H&agrave; Nội.
✅ Kh&aacute;ch h&agrave;ng ở xa hỗ trợ vận chuyển xe 63 Tỉnh th&agrave;nh trong cả nước, thanh to&aacute;n chuyển khoản.
 ------------------🅧🅜🅗🅝---------------
 🏨 Đị🅐 🅒🅗ỉ 01: số 46 ng&otilde; 12 nguyễn văn huy&ecirc;n _ cầu giấy h&agrave; nội
🏨 Địa chỉ 02 :  40_Ng&otilde;_260 _Cầu_Giấy_HN
👩&zwj;💻 App SĐT Zalo để tư vấn nhiệt t&igrave;nh 👨&zwj;🚀 
👩&zwj;💻 Tư Vấn B&aacute;n H&agrave;ng Zalo : Full ảnh + Video( 0846363568- 0918101568)",23500000,https://cdn.okxe.vn/products/853/1195853/1195853_846454_review-0_20221205014643_7IPVdJvO_m_400x400.jpg,Tp. Hà Nội,1,Honda PS 150i,20000,,123.0,2008,15,156,2,1,13
20,Benelli TNT 125 2019,"M&aacute;y bốc nhẹ nh&agrave;ng, xe nhập th&aacute;i 2019 ch&iacute;nh chủ.m&igrave;nh vẫn giữ đầy đủ 2 gương, 2 ch&igrave;a kh&oacute;a theo xe.
Dầu m&aacute;y nước m&aacute;t m&igrave;nh thay thường xuy&ecirc;n theo định kỳ tại h&atilde;ng. Mua b&aacute;n v&agrave; xem xe tại nh&agrave; m&igrave;nh lu&ocirc;n.",14200000,https://cdn.okxe.vn/products/852/1195852/1195852_2254_6._20221205014640_WKjrNyoC_m_400x400.jpg,Tp. Hà Nội,1,Benelli TNT 125,5000,,125.0,2019,3,15,2,2,10
21,Honda Air Blade 125 FI 2018,"- Honda ab 125 fi kho&aacute; mickey 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2018
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 35.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",35500000,https://cdn.okxe.vn/products/851/1195851/1195851_389086_review-0_20221205014614_oJ2kE5W5_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Air Blade 125 FI,20000,,125.0,2018,15,148,2,1,10
22,Yamaha Exciter VVA 155 2022,"#XE_M&Aacute;Y_CŨ_VĂN_THAO_CH&Agrave;O_B&Aacute;N
 (Hỗ trợ trả g&oacute;p qua thẻ t&iacute;n dụng
   Nhận thu mua lại xe đ&atilde; qua sử dụng)
❤️YAMAHA EXCITER  155 VVA kho&aacute; th&ocirc;ng minh
✔️Năm sản xuất: 2022
✔️M&agrave;u: Xanh 
✔️Km:   3000km
✔️Gi&aacute; b&aacute;n :  45.500.000vnđ
✅ biển kiểm so&aacute;t : 29E2-758.13
Đổi xe kh&ocirc;ng t&iacute;nh ph&iacute; trong 10 ng&agrave;y
Hỗ trợ thủ tục sang t&ecirc;n cho kh&aacute;ch h&agrave;ng.
Cửa h&agrave;ng ch&uacute;ng t&ocirc;i chuy&ecirc;n mua b&aacute;n trao đổi c&aacute;c loại xe đ&atilde; qua sử dụng.
- Mọi chiếc xe tại cửa h&agrave;ng đều đ&atilde; được kiểm tra cẩn thận về chất lượng cũng như đảm bảo ph&aacute;p l&yacute; của xe.
- Cửa h&agrave;ng c&oacute; đầy đủ dịch vụ sang t&ecirc;n,đổi biển,cấp lại đăng k&yacute; cho kh&aacute;ch c&oacute; nhu cầu sang t&ecirc;n trong thơi gian ngắn nhất.
- Chế độ bảo h&agrave;nh từ 6 th&aacute;ng đến 1 năm.
- Bảo h&agrave;nh tận nơi cho kh&aacute;ch trong nội th&agrave;nh h&agrave; nội.
- Hỗ trợ mua b&aacute;n trao đổi xe với gi&aacute; cao cho kh&aacute;ch mua b&aacute;n tại cửa h&agrave;ng.
- Đổi xe trong 10 ng&agrave;y đầu nếu kh&aacute;ch kh&ocirc;ng ưng &yacute;.
- C&oacute; dịch vụ vận chuyển sau mua h&agrave;ng cho kh&aacute;ch.
- Thanh to&aacute;n online,quẹt thẻ nhanh gọn.
Địa chỉ: 23 ng&otilde; 87 phố Nguyễn Phong Sắc , quận Cầu Giấy, H&agrave; Nội.
Hotline /zalo : 0904.991.733",45500000,https://cdn.okxe.vn/products/850/1195850/1195850_188851_review-0_20221205014611_ZWV2bSHL_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Exciter VVA 155,5000,,155.0,2022,40,535,2,2,15
23,Honda Wave Alpha 110i 2003,cần ban xe wave hq m&agrave;u x&aacute;m xi măng banh t&acirc;m xe đẹp m&aacute;y &ecirc;m chạy rất lợi xăng nước sơn rin c&aacute;c chức năng c&ograve;n đầy đủ gi&aacute; 5tr9,5900000,https://cdn.okxe.vn/products/849/1195849/1195849_930864_IMG20211019140307_20221205014551_KjTpJKfh_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Wave Alpha 110i,5000,,109.0,2003,15,1055,2,2,14
24,Honda Win 100 2022,"Cần b&aacute;n win như h&igrave;nh
m&aacute;y m&oacute;c &ecirc;m ru
giấy tờ đầy đủ
gi&aacute; 6tr8
xem xe tại 135, đường số 51, t&acirc;n quy, quận 7",6800000,https://cdn.okxe.vn/products/847/1195847/1195847_283586_IMG_20221205_134413 (1)_20221205014549_edkfBMbw_m_400x400.jpg,Tp. Hồ Chí Minh,50,Honda Win 100,5000,,100.0,2022,15,142,2,2,16
25,Honda Winner 150 2019,"M&igrave;nh b&aacute;n lại chiếc xe ch&iacute;nh chủ nh&agrave; đi, xe chạy vẫn c&ograve;n tốt m&aacute;y nguy&ecirc;n bản hết. M&igrave;nh mua từ mới n&ecirc;n chất lượng c&aacute;c bạn y&ecirc;n t&acirc;m, xe chạy vẫn ổn định. Th&ocirc;ng tin xe nếu bạn n&agrave;o cần alo trực tiếp m&igrave;nh.",20000000,https://cdn.okxe.vn/products/848/1195848/1195848_1128_4._20221205014550_vXktoO7K_m_400x400.jpg,Tp. Hà Nội,1,Honda Winner 150,5000,,149.0,2019,15,180,2,2,3
26,Yamaha Exciter 150 RC 2020,"Gi&aacute; đ&igrave;nh ko c&oacute; nhu cầu sử n&ecirc;n cần nhượng lại chiếc xe YAMAHA EXCITER 150 Đ&Egrave;N LED 2021 BIỂN 29
Xe c&ograve;n nguy&ecirc;n bản, m&aacute;y m&oacute;c &ecirc;m du
Xe đi giữ z&igrave;n v&agrave; thường xuy&ecirc;n bảo dưỡng n&ecirc;n chất lượng c&ograve;n rất tốt
Ai c&oacute; nhu cầu xin lh trực tiếp qua xem rồi thỏa thuận nh&eacute;",29500000,https://cdn.okxe.vn/products/846/1195846/1195846_1081_1._20221205014534_5baialNY_m_400x400.jpg,Tp. Hà Nội,1,Yamaha Exciter 150 RC,5000,,150.0,2020,40,535,2,2,13
27,Yamaha Janus 2019 2018,"- Yamaha janus fi 
- biển số th&agrave;nh phố Hồ Ch&iacute; Minh 
- đăng k&yacute; năm: 2018
- ch&iacute;nh chủ bao c&ocirc;ng chứng 
- gi&aacute;: 23.500.000₫
- xem xe tại: 673 tỉnh lộ 10- b&igrave;nh trị đ&ocirc;ng b- b&igrave;nh t&acirc;n- tphcm.",23500000,https://cdn.okxe.vn/products/845/1195845/1195845_389086_review-0_20221205014532_HosuptSA_m_400x400.jpg,Tp. Hồ Chí Minh,50,Yamaha Janus 2019,20000,,125.0,2018,40,525,2,1,3
28,Honda Wave Alpha RSX 110 Fi 2019,"M&igrave;nh c&oacute; chiếc xe n&agrave;y đang cần b&aacute;n, xe c&ograve;n nguy&ecirc;n bản
M&aacute;y m&oacute;c nguy&ecirc;n bản hết. Xe đi ngon v&agrave; rất tiết kiệm xăng
Ai c&oacute; nhu cầu xin lh ạh",12000000,https://cdn.okxe.vn/products/844/1195844/1195844_1949_1._20221205014532_a9l5nEbW_m_400x400.jpg,Tp. Hà Nội,1,Honda Wave Alpha RSX 110 Fi,5000,,110.0,2019,15,1055,2,2,3
29,Honda Vision NSC110 2020,Cần b&aacute;n Honda Vision 110 Fi m&agrave;u TRẮNGđăng k&yacute; 2020.Giấy tờ ch&iacute;nh chủ m&igrave;nh hỗ trợ mọi thủ tục để c&aacute;c bạn tiện sang t&ecirc;n mua v&agrave; xem xe tại nh&agrave; ri&ecirc;ng của m&igrave;nh. xin cảm ơn mọi người,26700000,https://cdn.okxe.vn/products/843/1195843/1195843_1511651_6._20221205014529_ME4kqOrS_m_400x400.jpg,Tp. Hà Nội,1,Honda Vision NSC110,5000,,108.0,2020,15,135,2,1,1
