id,name,logo
40,Yamaha,https://cdn.okxe.vn/moto/logo/active/2021/Yamaha.png
41,ALPHA,https://cdn.okxe.vn/moto/logo/active/2021/Visitor.png
42,Asama,https://cdn.okxe.vn/moto/logo/active/2021/Asama.png
43,ASISTA Bmm,https://cdn.okxe.vn/moto/logo/active/2021/ASISTA+Bmm.png
44,Hyundai,https://cdn.okxe.vn/moto/logo/active/2021/Huyndai.png
45,Suzika,https://cdn.okxe.vn/moto/logo/active/2021/Suzika.png
46,AIMA,https://cdn.okxe.vn/moto/logo/active/2021/Aima.png
47,Dkbike,https://cdn.okxe.vn/moto/logo/active/2021/Dkbike.png
48,Draca,https://cdn.okxe.vn/moto/logo/active/2021/Draca.png
49,Anbico Dina,https://cdn.okxe.vn/moto/logo/active/2021/ANBICO+DINA.png
50,ANBICO,https://cdn.okxe.vn/moto/logo/active/2021/ANBICO.png
51,Before All,https://cdn.okxe.vn/moto/logo/active/2021/Before+All.png
52,Dibao,https://cdn.okxe.vn/moto/logo/active/2021/Dibao.png
53,HTC,https://cdn.okxe.vn/moto/logo/active/2021/HTC.png
54,Giant,https://cdn.okxe.vn/moto/logo/active/2021/Giant.png
55,DTP,https://cdn.okxe.vn/moto/logo/active/2021/DTP.png
56,Espero,https://cdn.okxe.vn/moto/logo/active/2021/Espero.png
57,Everest,https://cdn.okxe.vn/moto/logo/active/2021/Everest.png
58,FMT,https://cdn.okxe.vn/moto/logo/active/2021/FMT.png
59,Gianya,https://cdn.okxe.vn/moto/logo/active/2021/Gianya.png
60,Hola,https://cdn.okxe.vn/moto/logo/active/2021/Hola.png
61,Nishiki,https://cdn.okxe.vn/moto/logo/active/2021/Nishiki.png
62,Sonsu,https://cdn.okxe.vn/moto/logo/active/2021/Sonsu.png
63,Gedesheng,https://cdn.okxe.vn/moto/logo/active/2021/Gedesheng.png
64,Fuji,https://cdn.okxe.vn/moto/logo/active/2021/Fuji.png
65,Hkbike,https://cdn.okxe.vn/moto/logo/active/2021/Hkbike.png
66,Osakar,https://cdn.okxe.vn/moto/logo/active/2021/Osakar.png
67,Zoomer,https://cdn.okxe.vn/moto/logo/active/2021/Zoomer.png
68,Jili,https://cdn.okxe.vn/moto/logo/active/2021/Jili.png
69,Mocha,https://cdn.okxe.vn/moto/logo/active/2021/Mocha.png
70,Nijia,https://cdn.okxe.vn/moto/logo/active/2021/Nijia.png
71,Pega,https://cdn.okxe.vn/moto/logo/active/2021/Pega.png
72,Sufat,https://cdn.okxe.vn/moto/logo/active/2021/Sufat.png
73,Takuda,https://cdn.okxe.vn/moto/logo/active/2021/Takuda.png
74,Byvin,https://cdn.okxe.vn/moto/logo/active/2021/Byvin.png
75,Emoto,https://cdn.okxe.vn/moto/logo/active/2021/Emoto.png
76,JVC Eco,https://cdn.okxe.vn/moto/logo/active/2021/JVC+eco.png
77,Seeyes,https://cdn.okxe.vn/moto/logo/active/2021/Seeyes.png
78,Việt Thái,https://cdn.okxe.vn/moto/logo/active/2021/Vi%E1%BB%87t+Th%C3%A1i.png
79,Yadea,https://cdn.okxe.vn/moto/logo/active/2021/Yadea.png
80,CMV,https://cdn.okxe.vn/moto/logo/active/2021/CMV.png
81,EV,https://cdn.okxe.vn/moto/logo/active/2021/EV.png
82,VinFast,https://cdn.okxe.vn/moto/logo/active/2021/Vinfast.png
83,DYU,https://cdn.okxe.vn/moto/logo/active/2021/DYU.png
84,Lyva,https://cdn.okxe.vn/moto/logo/active/2021/Lyva.png
85,Kingda,https://cdn.okxe.vn/moto/logo/active/2021/Kingda.png
86,Ecobike,https://cdn.okxe.vn/moto/logo/active/2021/Ecobike.png
87,Nikebike,https://cdn.okxe.vn/moto/logo/active/2021/Nike+bike.png
88,Tenbike,https://cdn.okxe.vn/moto/logo/active/2021/Tenbike.png
89,Haybike,https://cdn.okxe.vn/moto/logo/active/2021/Haybike.png
90,Dragon,https://cdn.okxe.vn/moto/logo/active/2021/Dragon.png
91,Michi,https://cdn.okxe.vn/moto/logo/active/2021/Michi.png
92,Ecooter,https://cdn.okxe.vn/moto/logo/active/2021/Ecooter.png
93,Niu,https://cdn.okxe.vn/moto/logo/active/2021/Niu.png
94,ETC,https://cdn.okxe.vn/moto/logo/active/2021/ETC.png
95,GPX,https://cdn.okxe.vn/moto/logo/active/2021/GPX.png
96,Royal Enfield,https://cdn.okxe.vn/moto/logo/active/2021/Royal+Enfield.png
97,Sunny,https://cdn.okxe.vn/moto/logo/active/2021/Sunny.png
98,PK,https://cdn.okxe.vn/moto/logo/active/PK.png
99,The Design Tiger,https://cdn.okxe.vn/moto/logo/active/The%20Design%20Tiger.png
100,HT Bike,https://cdn.okxe.vn/moto/logo/active/2021/HTbike.png
102,LTP,https://cdn.okxe.vn/moto/logo/active/2021/LTP.png
104,TL bike,https://cdn.okxe.vn/moto/logo/active/2021/TL+bike.png
105,Martin,https://cdn.okxe.vn/moto/logo/active/2021/Martin.png
106,Yasuki,https://cdn.okxe.vn/moto/logo/active/2021/Yasuki.png
107,AVA,https://cdn.okxe.vn/moto/logo/active/2021/Ava.png
108,Hitasa,https://cdn.okxe.vn/moto/logo/active/2021/Hitasa.png
110,Covingtons,https://cdn.okxe.vn/moto/logo/active/2021/Covingtons.png
114,T-bike,https://cdn.okxe.vn/moto/logo/active/2021/T-bike.png
115,Bridgestone,https://cdn.okxe.vn/moto/logo/active/2021/Bridgestone.png
116,Taya Motor,https://cdn.okxe.vn/moto/logo/active/linh_1626162982.png
117,Bosscity,https://cdn.okxe.vn/moto/logo/active/linh_1626690942.png
118,Ally,https://cdn.okxe.vn/moto/logo/active/linh_1626691252.png
119,Nioshima,https://cdn.okxe.vn/moto/logo/active/linh_1626692067.png
120,Myoko,https://cdn.okxe.vn/moto/logo/active/linh_1634533522.png
121,DETECH,https://cdn.okxe.vn/moto/logo/active/linh_1634710030.png
122,Giorno,https://cdn.okxe.vn/moto/logo/active/linh_1635156603.png
123,CUB,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
124,Gogoro,https://cdn.okxe.vn/moto/logo/active/linh_1635477179.png
125,DK MOTOR,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
126,Anmshi,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
127,Arena,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
128,Crea,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
129,D Bike,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
130,Dealim,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
132,DK,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
134,GLX,https://cdn.okxe.vn/moto/logo/active/linh_1636961118.png
135,Vinathai,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
136,Saki,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
137,Sadoka,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
138,LIXI,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
139,Lifan,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
140,Victoria,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
141,Taya Motor,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
143,Lima,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
144,Evgo,https://cdn.okxe.vn/moto/logo/active/2021/Before.png
145,Husqvarna,https://cdn.okxe.vn/moto/logo/active/linh_1639388345.png
